keyword,search_volume,keyword_difficulty,cpc,intent,funnel_stage,serp_features,content_format_needed,mapped_feature_ids,mapped_blog_slugs,cluster_id,content_type,priority,status,last_updated,source,notes
magnétiseur Troyes,0,0,0,informational+local,consideration,,pillar page local,feat_magnetisme_adulte,magnetiseur-troyes-arreter-fumer,tc_magnetiseur_troyes,pillar,high,published,2026-03-26,auto-detect,Mot-clé principal local
hypnose arrêt tabac Troyes,0,0,0,commercial,decision,,tutorial + local,feat_arret_tabac_seance|feat_hypnose_ericksonienne,hypnose-arret-tabac-troyes|hypnose-arret-tabac-cabinet-saint-germain-troyes,tc_arret_tabac,cluster,high,published,2026-03-26,auto-detect,Conversion directe
magnétiseur arrêt tabac,0,0,0,commercial,decision,,tutorial,feat_arret_tabac_seance|feat_combo_magnetisme_hypnose,magnetiseur-arret-tabac-pres-de-moi|magnetiseur-troyes-arreter-fumer,tc_arret_tabac,cluster,high,published,2026-03-26,auto-detect,
magnétiseur Aube,0,0,0,informational+local,consideration,,pillar page local,feat_magnetisme_adulte|feat_zone_aube,magnetiseur-aube-arreter-fumer,tc_magnetiseur_aube,pillar,high,published,2026-03-26,auto-detect,
arrêt tabac hypnose,0,0,0,commercial,decision,,guide + comparatif,feat_arret_tabac_seance|feat_hypnose_ericksonienne,hypnose-pour-arret-du-tabac-guide-complet|methode-hypnose-arret-tabac,tc_arret_tabac,pillar,high,published,2026-03-26,auto-detect,
magnétiseur Troyes arrêt tabac,0,0,0,commercial,decision,,local landing page,feat_arret_tabac_seance,magnetiseur-troyes-arreter-fumer,tc_arret_tabac,cluster,high,published,2026-03-26,auto-detect,
hypnose Troyes,0,0,0,informational+local,awareness,,local service page,feat_hypnose_ericksonienne,hypnose-troyes-stress-naturellement|hypnotherapeute-troyes-choisir,tc_magnetiseur_troyes,cluster,high,planned,2026-03-26,auto-detect,
magnétiseuse Troyes,0,0,0,local,awareness,,local landing page,feat_magnetisme_adulte,magnetiseur-troyes-arreter-fumer,tc_magnetiseur_troyes,cluster,high,planned,2026-03-26,auto-detect,Variante genre féminin
arrêt tabac symptômes sevrage,0,0,0,informational,awareness,,guide symptômes,feat_arret_tabac_seance,arret-tabac-timeline-jour-par-jour|irritabilite-arret-tabac-combien-temps|fatigue-arret-tabac-combien-temps,tc_sevrage_symptomes,pillar,high,published,2026-03-26,auto-detect,Cluster spécifique symptômes
irritabilité arrêt tabac combien de temps,0,0,0,informational,awareness,,how-to,feat_arret_tabac_seance,irritabilite-arret-tabac-combien-temps,tc_sevrage_symptomes,cluster,medium,published,2026-03-26,auto-detect,
insomnie arrêt tabac,0,0,0,informational,awareness,,how-to,feat_troubles_sommeil|feat_arret_tabac_seance,insomnie-arret-tabac-combien-temps,tc_sevrage_symptomes,cluster,medium,published,2026-03-26,auto-detect,
fatigue arrêt tabac,0,0,0,informational,awareness,,how-to,feat_arret_tabac_seance,fatigue-arret-tabac-combien-temps,tc_sevrage_symptomes,cluster,medium,published,2026-03-26,auto-detect,
rechute arrêt tabac,0,0,0,informational,consideration,,how-to plan d'action,feat_arret_tabac_seance,rechute-arret-tabac-que-faire-immediatement,tc_arret_tabac,cluster,medium,published,2026-03-26,auto-detect,
patchs arrêt tabac comparatif,0,0,0,commercial,consideration,,comparatif,feat_arret_tabac_seance,arreter-fumer-patchs-gommes-hypnose-comparatif|arret-tabac-patch-meilleurs-comparatif,tc_comparatifs_tabac,cluster,medium,published,2026-03-26,auto-detect,
gérer stress Troyes,0,0,0,local,consideration,,tutorial local,feat_stress_anxiete,gestion-stress-troyes-magnetisme-hypnose,tc_bien_etre_troyes,cluster,medium,published,2026-03-26,auto-detect,
troubles du sommeil Troyes,0,0,0,local,consideration,,tutorial local,feat_troubles_sommeil,troubles-sommeil-insomnie-troyes-solutions-naturelles,tc_bien_etre_troyes,cluster,medium,published,2026-03-26,auto-detect,
perte de poids hypnose Troyes,0,0,0,local,consideration,,tutorial local + témoignages,feat_perte_poids,perte-poids-hypnose-troyes-temoignages,tc_bien_etre_troyes,cluster,medium,published,2026-03-26,auto-detect,
douleurs chroniques magnétiseur,0,0,0,local,consideration,,tutorial local,feat_douleurs_chroniques,douleurs-chroniques-magnetiseur-troyes-soulage,tc_bien_etre_troyes,cluster,medium,published,2026-03-26,auto-detect,
Geoffron magnétiseur alternatif,0,0,0,commercial,decision,,comparison,feat_combo_magnetisme_hypnose,,tc_magnetiseur_troyes,cluster,medium,planned,2026-03-26,auto-detect,Page comparatif vs concurrent
coût arrêt tabac méthodes,0,0,0,commercial,consideration,,comparatif prix,feat_arret_tabac_seance,cout-arret-tabac-combien-budget-prevoir,tc_comparatifs_tabac,cluster,medium,published,2026-03-26,auto-detect,
acupuncture arrêt tabac efficacité,0,0,0,commercial,consideration,,comparatif,feat_arret_tabac_seance,acupuncture-arret-tabac-efficacite-avis,tc_comparatifs_tabac,cluster,medium,published,2026-03-26,auto-detect,
arrêter fumer naturellement,0,0,0,informational,awareness,,listicle méthodes,feat_arret_tabac_seance|feat_combo_magnetisme_hypnose,arreter-fumer-sans-substituts-methodes-naturelles|arreter-fumer-sans-medicaments-methodes-naturelles,tc_arret_tabac,cluster,medium,published,2026-03-26,auto-detect,
hypnothérapeute Troyes choisir,0,0,0,informational,consideration,,guide how-to,feat_hypnose_ericksonienne|feat_formation_gnoma,hypnotherapeute-troyes-choisir,tc_magnetiseur_troyes,cluster,medium,published,2026-03-26,auto-detect,
confiance en soi hypnose Troyes,0,0,0,local,consideration,,tutorial local,feat_confiance_soi,confiance-en-soi-hypnose-magnetisme-troyes,tc_bien_etre_troyes,cluster,low,published,2026-03-26,auto-detect,
